,aristocrats,artisans,bureaucrats,capitalists,clergymen,clerks,craftsmen,farmers,labourers,officers,slaves,soldiers
1836,16431938.3796,91671255.8094,409088.46617,88938.40441,723524.15926,742.82745,5718.86858,32086336.5488,12052782.0501,276821.40623,0.0,347414.99077
1837,20729935.4497,259880610.842,9044368.78572,286919.25032,13889353.3274,4889.75219,35415.77261,18569264.0185,11634783.4199,9262451.6132,0.0,123160.71133
1838,23791183.1166,309625790.12,11160487.3274,398144.16885,20172030.2481,6070.77777,47602.54882,18433730.3004,12416676.4811,12264811.1699,0.0,122599.53675
1839,21211800.3326,407296002.215,18893219.8227,467465.38037,34306785.2527,6605.44796,59375.74063,19919026.4852,18217097.445,16630332.3054,0.0,228773.06981
1840,16731060.0476,458411861.943,25664009.8936,855952.14042,46674336.395,8086.39216,70381.88403,21130673.577,24373781.8115,19313624.2261,0.0,798692.9331
1841,16359786.8066,502221323.804,32205992.7039,1215460.40448,57230073.2799,7606.7018,61423.54394,19068887.452,20771299.3324,23309318.3811,0.0,199983.61478
1842,15894202.858,540231467.778,35518867.6893,862263.80006,66438754.9013,12239.96276,66702.29058,19783228.3501,20044725.3157,25493020.6541,0.0,181499.8218
1843,20937715.5848,553102333.611,37139532.3658,1401839.04629,72146315.2914,10036.6694,93379.68182,20168482.0858,19346189.4931,27233951.625,0.0,224380.21682
1844,18493657.4418,552632535.738,38677334.9237,1029276.42707,80370418.5466,8356.90653,106744.53524,20165176.3775,18022958.1901,30784599.5868,0.0,201897.10476
1845,15214031.461,549805223.794,36065511.6387,1608449.8932,86326409.3548,8842.03027,131126.52405,20729369.6271,17869901.2322,31766687.2224,0.0,199074.06708
1846,18247062.9868,544769078.047,33108960.8645,4228352.46473,87370095.5074,11297.31213,182910.09146,20735170.7665,19109100.6835,31213646.8334,0.0,267842.17562
1847,30612294.2342,536654649.273,35764168.9384,5174729.24398,94680917.9272,13145.2349,196033.00247,26371741.5234,29214324.497,34035058.7268,0.0,1876678.2586
1848,53601418.8629,529522839.685,37759741.195,5219452.44864,100991585.074,16502.69121,171749.38712,20633936.7948,22590038.1406,35257729.9654,0.0,225524.78691
1849,35889515.3891,521488108.146,39412280.4108,9747122.96357,105741906.178,16098.32233,240595.59781,20909506.3872,21761589.2026,31892176.6534,0.0,169070.94812
1850,7583175.87676,476498747.869,34491494.5491,10410209.3559,86713854.6679,15368.58333,246631.34554,21950749.1626,22719665.8739,28258375.9673,0.0,163235.53205
1851,7302564.8937,379752874.086,24752887.7086,13556740.1878,75365356.5113,15431.92223,262111.45072,22873676.9387,15247001.6519,22867878.5946,0.0,150455.30315
1852,7441154.3793,288184691.909,16588215.0759,8259338.49523,49203937.3113,15977.23056,267684.71984,22890059.9023,15242361.4775,19455792.1106,0.0,136734.13277
